cbsa1_name,cbsa2_name,cbsa1,cbsa2,raceDistance,incomeDistance,geographicDistance,scenesDistance,populationDistance,employmentDistance,bachelorDistance,frequencyDistance,frequencyCosine,categoriesJaccard,votingDistance
Los Angeles,Portland,31080,38900,0.14635159300050055,1346.0,1327111.6397727067,0.07401080463295397,10688139.0,0.017031147515892853,,19299.847434630152,0.9466400003257642,0.7659231389411448,0.03301236545034192
Boston,Miami,14460,33100,0.14298826609174928,38032.0,2015205.4873083732,0.09514536598583533,1196701.0,0.054959473390851055,36.67502334105605,5517.712207065533,0.9393323736950308,0.7791771620486986,0.07971251226609577
Riverside,San Francisco,40140,41860,0.0709215832365442,48274.0,656777.1570920658,0.1349206657287912,149169.0,0.057515566000847174,46.13089133089133,3746.7895590758762,0.9218189341162869,0.7623188405797101,0.2587981660411124
Los Angeles,Tampa,31080,45300,0.08901419041267855,21908.0,3454269.6951638088,0.13153676428978484,10025723.0,0.043232822727242826,,17750.66488895557,0.934623932602844,0.7812247100080928,0.18902532967250357
Houston,Orlando,26420,36740,0.007305459551448065,6510.0,1380038.392058771,0.06652828698710614,4448864.0,0.01591403112535017,14.250548033526755,8987.659650876862,0.9691874827975877,0.7794871794871795,0.04281568119094131
Boston,Washington,14460,47900,0.046110085960125335,12686.0,681101.0541416642,0.04357837671176049,1443530.0,0.021965069155193695,21.443526170798897,3394.3371959780306,0.9642050722136464,0.7893356643356644,0.13314421023818845
Atlanta,Philadelphia,12060,37980,0.021567557256407334,2930.0,1056622.9336710623,0.08379051566244591,155236.0,0.014960847058958837,47.316999663097455,4032.9620628019798,0.9571132394350624,0.8093617021276596,0.07545635782241022
Orlando,Philadelphia,36740,37980,0.03877897079607046,14004.0,1386973.551113593,0.10392686140495301,3571675.0,0.009926449067855891,15.692300244475106,6247.646036708546,0.9630871430224307,0.780765857936276,0.09243607457184666
Chicago,Minneapolis,16980,33460,0.04088454711210881,9586.0,574374.8051574682,0.05457576602400191,5928241.0,0.04136968061614821,16.001948119032036,13049.924712426506,0.97075205352781,0.787784090909091,0.07210462355690028
New York,San Antonio,35620,41700,0.0629162287585371,22700.0,2568179.431283852,0.1486014183225535,17582327.0,0.0023629212010469747,50.277243907271654,32108.198018574632,0.8923414430950258,0.7176970018572566,0.13000439895306548
Miami,San Francisco,33100,41860,0.07088104356202504,60230.0,4122635.4692768278,0.17280510269481347,1389325.0,0.036475785975502606,26.828805922111357,5970.93677742446,0.929389353764757,0.778668140370268,0.21114868441175927
